timestamp,event_type,source_ip,username,severity,description,host
2025-12-27 00:19:04,FILE_ACCESS,203.0.113.45,admin,CRITICAL,Attack pattern: DATA_BREACH - Step 2,SERVER-1
2025-12-27 00:17:04,FILE_ACCESS,10.0.0.5,sysadmin,LOW,Normal file access activity,WORKSTATION-3
2025-12-27 00:17:04,PRIVILEGE_ESCALATION,203.0.113.45,root,CRITICAL,Attack pattern: DATA_BREACH - Step 1,SERVER-1
2025-12-27 00:08:04,NETWORK_SCAN,198.51.100.78,root,MEDIUM,Suspicious network scan detected,SERVER-5
2025-12-27 00:05:04,LOGIN_SUCCESS,10.0.0.5,jnjoku,LOW,Normal login success activity,WORKSTATION-4
2025-12-27 00:04:04,LOGIN_FAILURE,192.0.2.123,administrator,MEDIUM,Suspicious login failure detected,SERVER-1
2025-12-27 00:00:04,NETWORK_SCAN,192.0.2.123,admin,MEDIUM,Suspicious network scan detected,SERVER-5
2025-12-26 23:59:04,LOGIN_SUCCESS,172.16.0.8,sysadmin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 23:59:04,NETWORK_SCAN,198.51.100.78,administrator,MEDIUM,Suspicious network scan detected,SERVER-3
2025-12-26 23:58:04,PRIVILEGE_ESCALATION,203.0.113.45,root,HIGH,Suspicious privilege escalation detected,SERVER-1
2025-12-26 23:57:04,NETWORK_SCAN,198.51.100.78,admin,MEDIUM,Suspicious network scan detected,SERVER-1
2025-12-26 23:54:04,FILE_ACCESS,192.168.1.20,admin,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 23:49:04,PRIVILEGE_ESCALATION,192.0.2.123,root,HIGH,Suspicious privilege escalation detected,SERVER-3
2025-12-26 23:48:04,FILE_ACCESS,10.0.0.12,sysadmin,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 23:45:04,FILE_ACCESS,172.16.0.8,user123,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 23:35:04,FILE_MODIFIED,192.168.1.15,sysadmin,LOW,Normal file modified activity,WORKSTATION-5
2025-12-26 23:35:04,PRIVILEGE_ESCALATION,192.0.2.123,administrator,HIGH,Suspicious privilege escalation detected,SERVER-4
2025-12-26 23:33:04,LOGIN_FAILURE,198.51.100.78,admin,MEDIUM,Suspicious login failure detected,SERVER-4
2025-12-26 23:29:04,FILE_ACCESS,10.0.0.5,user123,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 23:26:04,NETWORK_SCAN,198.51.100.78,admin,MEDIUM,Suspicious network scan detected,SERVER-5
2025-12-26 23:25:04,LOGIN_FAILURE,192.0.2.123,administrator,MEDIUM,Suspicious login failure detected,SERVER-4
2025-12-26 23:19:04,FILE_ACCESS,192.168.1.20,jnjoku,LOW,Normal file access activity,WORKSTATION-1
2025-12-26 23:18:04,PRIVILEGE_ESCALATION,192.0.2.123,root,HIGH,Suspicious privilege escalation detected,SERVER-1
2025-12-26 23:16:04,NETWORK_SCAN,192.0.2.123,root,MEDIUM,Suspicious network scan detected,SERVER-4
2025-12-26 23:13:04,PRIVILEGE_ESCALATION,192.0.2.123,administrator,HIGH,Suspicious privilege escalation detected,SERVER-3
2025-12-26 23:06:04,FILE_MODIFIED,192.168.1.10,jnjoku,LOW,Normal file modified activity,WORKSTATION-6
2025-12-26 22:59:04,LOGIN_SUCCESS,10.0.0.12,user123,LOW,Normal login success activity,WORKSTATION-10
2025-12-26 22:58:04,FILE_ACCESS,172.16.0.8,jnjoku,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 22:58:04,LOGIN_SUCCESS,192.168.1.15,sysadmin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 22:46:04,LOGIN_SUCCESS,10.0.0.5,jnjoku,LOW,Normal login success activity,WORKSTATION-10
2025-12-26 22:32:04,FILE_MODIFIED,10.0.0.5,admin,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 22:12:04,FILE_MODIFIED,192.168.1.15,user123,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 22:11:04,FILE_ACCESS,192.168.1.20,jnjoku,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 21:56:04,FILE_ACCESS,10.0.0.12,sysadmin,LOW,Normal file access activity,WORKSTATION-6
2025-12-26 21:47:04,LOGIN_SUCCESS,192.168.1.10,sysadmin,LOW,Normal login success activity,WORKSTATION-5
2025-12-26 21:39:04,FILE_ACCESS,192.168.1.10,sysadmin,LOW,Normal file access activity,WORKSTATION-1
2025-12-26 21:37:04,LOGIN_SUCCESS,192.168.1.20,user123,LOW,Normal login success activity,WORKSTATION-9
2025-12-26 21:35:04,FILE_MODIFIED,192.168.1.15,jnjoku,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 21:32:04,FILE_MODIFIED,172.16.0.8,jnjoku,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 21:30:04,LOGIN_SUCCESS,192.168.1.20,jnjoku,LOW,Normal login success activity,WORKSTATION-8
2025-12-26 21:22:04,LOGIN_SUCCESS,192.168.1.15,user123,LOW,Normal login success activity,WORKSTATION-3
2025-12-26 21:14:04,FILE_MODIFIED,172.16.0.8,sysadmin,LOW,Normal file modified activity,WORKSTATION-3
2025-12-26 21:11:04,FILE_MODIFIED,192.168.1.20,sysadmin,LOW,Normal file modified activity,WORKSTATION-8
2025-12-26 21:10:04,FILE_ACCESS,192.168.1.15,sysadmin,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 20:55:04,LOGIN_SUCCESS,10.0.0.12,jnjoku,LOW,Normal login success activity,WORKSTATION-7
2025-12-26 20:52:04,FILE_MODIFIED,192.168.1.20,jnjoku,LOW,Normal file modified activity,WORKSTATION-4
2025-12-26 20:51:04,FILE_ACCESS,192.168.1.10,jnjoku,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 20:38:04,FILE_MODIFIED,192.168.1.20,admin,LOW,Normal file modified activity,WORKSTATION-8
2025-12-26 20:36:04,FILE_MODIFIED,192.168.1.20,user123,LOW,Normal file modified activity,WORKSTATION-3
2025-12-26 20:34:04,LOGIN_SUCCESS,10.0.0.5,sysadmin,LOW,Normal login success activity,WORKSTATION-7
2025-12-26 20:24:04,FILE_ACCESS,192.168.1.15,admin,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 20:19:04,LOGIN_SUCCESS,10.0.0.12,sysadmin,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 19:54:04,FILE_ACCESS,10.0.0.12,user123,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 19:41:04,FILE_MODIFIED,192.168.1.20,admin,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 19:22:04,LOGIN_SUCCESS,192.168.1.15,admin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 19:13:04,FILE_MODIFIED,172.16.0.8,user123,LOW,Normal file modified activity,WORKSTATION-5
2025-12-26 19:00:04,FILE_MODIFIED,10.0.0.12,admin,LOW,Normal file modified activity,WORKSTATION-7
2025-12-26 18:47:04,FILE_MODIFIED,10.0.0.12,admin,LOW,Normal file modified activity,WORKSTATION-3
2025-12-26 18:43:04,FILE_ACCESS,192.168.1.10,user123,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 18:40:04,LOGIN_SUCCESS,172.16.0.8,sysadmin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 18:36:04,FILE_MODIFIED,10.0.0.12,admin,LOW,Normal file modified activity,WORKSTATION-2
2025-12-26 18:19:04,FILE_ACCESS,10.0.0.12,admin,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 18:03:04,FILE_ACCESS,10.0.0.12,user123,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 18:01:04,FILE_MODIFIED,192.168.1.20,jnjoku,LOW,Normal file modified activity,WORKSTATION-8
2025-12-26 17:48:04,FILE_MODIFIED,10.0.0.5,jnjoku,LOW,Normal file modified activity,WORKSTATION-7
2025-12-26 17:39:04,LOGIN_SUCCESS,10.0.0.5,admin,LOW,Normal login success activity,WORKSTATION-6
2025-12-26 17:05:04,FILE_MODIFIED,192.168.1.10,admin,LOW,Normal file modified activity,WORKSTATION-7
2025-12-26 16:55:04,LOGIN_SUCCESS,172.16.0.8,user123,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 16:50:04,FILE_ACCESS,10.0.0.12,jnjoku,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 16:45:04,FILE_MODIFIED,10.0.0.5,sysadmin,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 16:44:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-6
2025-12-26 16:36:04,FILE_ACCESS,192.168.1.15,user123,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 16:20:04,FILE_MODIFIED,10.0.0.5,jnjoku,LOW,Normal file modified activity,WORKSTATION-4
2025-12-26 16:17:04,LOGIN_SUCCESS,192.168.1.15,user123,LOW,Normal login success activity,WORKSTATION-7
2025-12-26 16:11:04,FILE_MODIFIED,192.168.1.20,jnjoku,LOW,Normal file modified activity,WORKSTATION-2
2025-12-26 16:11:04,FILE_ACCESS,192.168.1.10,sysadmin,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 16:08:04,LOGIN_SUCCESS,192.168.1.10,jnjoku,LOW,Normal login success activity,WORKSTATION-5
2025-12-26 15:56:04,LOGIN_SUCCESS,10.0.0.12,admin,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 15:54:04,FILE_ACCESS,172.16.0.8,sysadmin,LOW,Normal file access activity,WORKSTATION-6
2025-12-26 15:47:04,LOGIN_SUCCESS,10.0.0.5,admin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 15:40:04,FILE_MODIFIED,192.168.1.15,jnjoku,LOW,Normal file modified activity,WORKSTATION-7
2025-12-26 15:34:04,LOGIN_SUCCESS,192.168.1.15,sysadmin,LOW,Normal login success activity,WORKSTATION-9
2025-12-26 14:53:04,FILE_ACCESS,10.0.0.12,user123,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 14:49:04,FILE_ACCESS,10.0.0.12,jnjoku,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 14:35:04,FILE_MODIFIED,192.168.1.15,sysadmin,LOW,Normal file modified activity,WORKSTATION-3
2025-12-26 14:18:04,LOGIN_SUCCESS,192.168.1.15,sysadmin,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 14:15:04,FILE_ACCESS,192.168.1.15,jnjoku,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 13:55:04,LOGIN_SUCCESS,192.168.1.15,admin,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 13:53:04,LOGIN_SUCCESS,192.168.1.10,user123,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 13:36:04,LOGIN_SUCCESS,10.0.0.12,jnjoku,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 13:09:04,FILE_MODIFIED,192.168.1.20,user123,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 13:09:04,FILE_ACCESS,192.168.1.10,jnjoku,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 12:53:04,FILE_ACCESS,172.16.0.8,jnjoku,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 12:52:04,LOGIN_SUCCESS,192.168.1.10,sysadmin,LOW,Normal login success activity,WORKSTATION-5
2025-12-26 12:52:04,FILE_ACCESS,10.0.0.5,user123,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 12:44:04,FILE_MODIFIED,10.0.0.12,sysadmin,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 12:38:04,LOGIN_SUCCESS,192.168.1.10,sysadmin,LOW,Normal login success activity,WORKSTATION-9
2025-12-26 12:35:04,FILE_ACCESS,10.0.0.5,user123,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 12:35:04,FILE_MODIFIED,192.168.1.20,user123,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 12:31:04,FILE_MODIFIED,192.168.1.20,sysadmin,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 12:30:04,FILE_MODIFIED,192.168.1.10,sysadmin,LOW,Normal file modified activity,WORKSTATION-3
2025-12-26 12:29:04,FILE_MODIFIED,10.0.0.5,user123,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 12:22:04,LOGIN_SUCCESS,192.168.1.10,admin,LOW,Normal login success activity,WORKSTATION-6
2025-12-26 12:03:04,LOGIN_SUCCESS,172.16.0.8,jnjoku,LOW,Normal login success activity,WORKSTATION-9
2025-12-26 12:02:04,LOGIN_SUCCESS,172.16.0.8,user123,LOW,Normal login success activity,WORKSTATION-5
2025-12-26 11:58:04,FILE_ACCESS,10.0.0.5,admin,LOW,Normal file access activity,WORKSTATION-5
2025-12-26 11:47:04,FILE_MODIFIED,172.16.0.8,sysadmin,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 11:37:04,FILE_MODIFIED,192.168.1.15,jnjoku,LOW,Normal file modified activity,WORKSTATION-7
2025-12-26 11:31:04,FILE_MODIFIED,172.16.0.8,jnjoku,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 11:22:04,FILE_ACCESS,192.168.1.10,user123,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 11:13:04,LOGIN_SUCCESS,172.16.0.8,jnjoku,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 11:07:04,LOGIN_SUCCESS,192.168.1.10,jnjoku,LOW,Normal login success activity,WORKSTATION-5
2025-12-26 11:06:04,FILE_ACCESS,192.168.1.10,user123,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 11:04:04,LOGIN_SUCCESS,172.16.0.8,sysadmin,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 11:00:04,LOGIN_SUCCESS,192.168.1.15,sysadmin,LOW,Normal login success activity,WORKSTATION-10
2025-12-26 10:32:04,FILE_ACCESS,192.168.1.10,sysadmin,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 10:30:04,LOGIN_SUCCESS,192.168.1.20,user123,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 10:28:04,LOGIN_SUCCESS,10.0.0.5,user123,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 10:25:04,LOGIN_SUCCESS,192.168.1.10,admin,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 10:13:04,FILE_MODIFIED,10.0.0.12,admin,LOW,Normal file modified activity,WORKSTATION-5
2025-12-26 10:07:04,FILE_ACCESS,172.16.0.8,admin,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 09:30:04,FILE_MODIFIED,192.168.1.15,jnjoku,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 09:28:04,FILE_ACCESS,172.16.0.8,admin,LOW,Normal file access activity,WORKSTATION-10
2025-12-26 09:01:04,FILE_ACCESS,172.16.0.8,sysadmin,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 08:49:04,LOGIN_SUCCESS,192.168.1.10,admin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 08:44:04,FILE_ACCESS,172.16.0.8,sysadmin,LOW,Normal file access activity,WORKSTATION-5
2025-12-26 08:12:04,FILE_ACCESS,192.168.1.15,user123,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 08:05:04,FILE_ACCESS,192.168.1.10,admin,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 08:00:04,LOGIN_SUCCESS,172.16.0.8,jnjoku,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 07:50:04,LOGIN_SUCCESS,10.0.0.12,sysadmin,LOW,Normal login success activity,WORKSTATION-3
2025-12-26 07:44:04,FILE_ACCESS,192.168.1.15,user123,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 07:42:04,FILE_ACCESS,10.0.0.12,jnjoku,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 07:34:04,FILE_MODIFIED,192.168.1.20,user123,LOW,Normal file modified activity,WORKSTATION-4
2025-12-26 06:54:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 06:46:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-10
2025-12-26 06:43:04,LOGIN_SUCCESS,10.0.0.12,sysadmin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 06:42:04,FILE_MODIFIED,192.168.1.20,sysadmin,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 06:34:04,FILE_MODIFIED,192.168.1.10,user123,LOW,Normal file modified activity,WORKSTATION-10
2025-12-26 06:23:04,FILE_ACCESS,10.0.0.12,jnjoku,LOW,Normal file access activity,WORKSTATION-10
2025-12-26 06:21:04,FILE_ACCESS,192.168.1.10,user123,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 06:01:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-7
2025-12-26 05:22:04,LOGIN_SUCCESS,192.168.1.20,sysadmin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 05:20:04,LOGIN_SUCCESS,192.168.1.10,sysadmin,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 05:17:04,FILE_ACCESS,10.0.0.5,admin,LOW,Normal file access activity,WORKSTATION-9
2025-12-26 05:01:04,LOGIN_SUCCESS,192.168.1.10,jnjoku,LOW,Normal login success activity,WORKSTATION-6
2025-12-26 04:58:04,FILE_ACCESS,10.0.0.12,jnjoku,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 04:46:04,FILE_MODIFIED,10.0.0.5,jnjoku,LOW,Normal file modified activity,WORKSTATION-9
2025-12-26 04:38:04,FILE_ACCESS,192.168.1.20,jnjoku,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 04:20:04,LOGIN_SUCCESS,192.168.1.20,user123,LOW,Normal login success activity,WORKSTATION-7
2025-12-26 04:13:04,LOGIN_SUCCESS,10.0.0.12,user123,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 04:04:04,FILE_ACCESS,192.168.1.20,user123,LOW,Normal file access activity,WORKSTATION-8
2025-12-26 03:53:04,FILE_ACCESS,10.0.0.5,jnjoku,LOW,Normal file access activity,WORKSTATION-1
2025-12-26 03:47:04,FILE_ACCESS,192.168.1.15,admin,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 03:44:04,FILE_ACCESS,192.168.1.15,user123,LOW,Normal file access activity,WORKSTATION-6
2025-12-26 03:42:04,FILE_MODIFIED,10.0.0.5,sysadmin,LOW,Normal file modified activity,WORKSTATION-8
2025-12-26 03:35:04,FILE_MODIFIED,192.168.1.20,jnjoku,LOW,Normal file modified activity,WORKSTATION-6
2025-12-26 03:30:04,LOGIN_SUCCESS,192.168.1.10,jnjoku,LOW,Normal login success activity,WORKSTATION-1
2025-12-26 03:20:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-1
2025-12-26 03:14:04,FILE_MODIFIED,192.168.1.15,user123,LOW,Normal file modified activity,WORKSTATION-4
2025-12-26 02:59:04,FILE_ACCESS,192.168.1.20,sysadmin,LOW,Normal file access activity,WORKSTATION-5
2025-12-26 02:59:04,FILE_ACCESS,172.16.0.8,user123,LOW,Normal file access activity,WORKSTATION-5
2025-12-26 02:59:04,LOGIN_SUCCESS,172.16.0.8,jnjoku,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 02:53:04,LOGIN_SUCCESS,172.16.0.8,admin,LOW,Normal login success activity,WORKSTATION-4
2025-12-26 02:48:04,FILE_MODIFIED,192.168.1.10,user123,LOW,Normal file modified activity,WORKSTATION-1
2025-12-26 02:44:04,FILE_ACCESS,10.0.0.12,user123,LOW,Normal file access activity,WORKSTATION-2
2025-12-26 02:39:04,FILE_ACCESS,10.0.0.12,sysadmin,LOW,Normal file access activity,WORKSTATION-3
2025-12-26 02:29:04,FILE_MODIFIED,10.0.0.12,sysadmin,LOW,Normal file modified activity,WORKSTATION-5
2025-12-26 02:25:04,FILE_ACCESS,10.0.0.5,sysadmin,LOW,Normal file access activity,WORKSTATION-4
2025-12-26 01:45:04,LOGIN_SUCCESS,10.0.0.12,jnjoku,LOW,Normal login success activity,WORKSTATION-2
2025-12-26 01:40:04,FILE_MODIFIED,192.168.1.10,jnjoku,LOW,Normal file modified activity,WORKSTATION-8
2025-12-26 01:29:04,LOGIN_SUCCESS,10.0.0.12,sysadmin,LOW,Normal login success activity,WORKSTATION-3
2025-12-26 01:28:04,FILE_MODIFIED,192.168.1.15,sysadmin,LOW,Normal file modified activity,WORKSTATION-2
